[  2023-08-25 금요일 10:30:03 837 ] 파일 생성 성공
[ default 2023-08-25 금요일 10:30:03 835 ] 프로그램 시작
[ default 2023-08-25 금요일 14:17:54 178 ] MainForm -> .ctor 
[ default 2023-08-25 금요일 15:51:11 354 ] 프로그램 시작
[ default 2023-08-25 금요일 15:51:11 356 ] MainForm -> .ctor 
[ default 2023-08-25 금요일 15:51:11 615 ] LoginForm -> Form1_Load 
[ default 2023-08-25 금요일 15:51:14 857 ] LoginForm -> UserInputCheck 
[ default 2023-08-25 금요일 15:51:14 971 ] LoginForm -> UserInputCheck 
[ default 2023-08-25 금요일 15:51:18 386 ] LoginForm -> PlaceInputCheck 
[ default 2023-08-25 금요일 15:51:18 529 ] LoginForm -> PlaceInputCheck 
[ default 2023-08-25 금요일 15:53:23 339 ] 프로그램 시작
[ default 2023-08-25 금요일 15:53:23 340 ] MainForm -> .ctor 
[ default 2023-08-25 금요일 15:53:23 498 ] LoginForm -> Form1_Load 
[ default 2023-08-25 금요일 15:53:26 156 ] LoginForm -> UserInputCheck 
[ default 2023-08-25 금요일 15:53:26 307 ] LoginForm -> UserInputCheck 
[ default 2023-08-25 금요일 15:53:26 683 ] LoginForm -> UserInputCheck 
[ default 2023-08-25 금요일 15:53:29 148 ] LoginForm -> UserInputCheck 
[ default 2023-08-25 금요일 15:53:29 230 ] LoginForm -> UserInputCheck 
[ default 2023-08-25 금요일 15:53:29 271 ] LoginForm -> UserInputCheck 
[ default 2023-08-25 금요일 15:53:29 365 ] LoginForm -> UserInputCheck 
[ default 2023-08-25 금요일 15:53:29 371 ] LoginForm -> UserInputCheck 
[ default 2023-08-25 금요일 15:53:29 372 ] LoginForm -> UserInputCheck 
[ default 2023-08-25 금요일 15:53:29 576 ] LoginForm -> UserInputCheck 
[ default 2023-08-25 금요일 15:53:29 583 ] LoginForm -> UserInputCheck 
[ default 2023-08-25 금요일 15:53:30 163 ] LoginForm -> PlaceInputCheck 
[ default 2023-08-25 금요일 15:53:30 235 ] LoginForm -> PlaceInputCheck 
[ default 2023-08-25 금요일 15:53:30 330 ] LoginForm -> PlaceInputCheck 
[ default 2023-08-25 금요일 15:53:30 506 ] LoginForm -> PlaceInputCheck 
[ default 2023-08-25 금요일 15:53:30 513 ] LoginForm -> PlaceInputCheck 
[ default 2023-08-25 금요일 15:53:30 515 ] LoginForm -> PlaceInputCheck 
[ default 2023-08-25 금요일 15:53:30 607 ] LoginForm -> PlaceInputCheck 
[ default 2023-08-25 금요일 15:53:31 884 ] LoginForm -> PlaceInputCheck 
[ default 2023-08-25 금요일 15:53:31 886 ] LoginForm -> PlaceInputCheck 
[ default 2023-08-25 금요일 15:53:32 008 ] LoginForm -> Start_Click 
[ default 2023-08-25 금요일 15:53:32 799 ] 검사자 : 히히	검사장소 : 못가검사 시작
[ default 2023-08-25 금요일 15:53:32 846 ] MainForm -> MainForm_Load 
[ default 2023-08-25 금요일 15:53:36 322 ] MainForm -> MainForm_Shown 
[ default 2023-08-25 금요일 16:04:50 712 ] 프로그램 시작
[ default 2023-08-25 금요일 16:04:50 714 ] MainForm -> .ctor 
[ default 2023-08-25 금요일 16:04:50 896 ] LoginForm -> Form1_Load 
[ default 2023-08-25 금요일 16:04:52 497 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:04:52 624 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:04:52 768 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:04:55 974 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:04:56 092 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:04:58 113 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:05:01 147 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:05:03 506 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:05:04 427 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:05:04 501 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:05:04 609 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:05:04 676 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:05:04 957 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:05:05 220 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:05:05 249 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:05:05 281 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:05:05 602 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:05:05 713 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:05:05 831 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:05:05 892 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:05:05 897 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:05:05 900 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:05:06 002 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:05:06 207 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:05:06 272 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:05:06 274 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:05:06 278 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:05:06 811 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:05:06 814 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:05:38 594 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:06 965 ] 프로그램 시작
[ default 2023-08-25 금요일 16:06:06 966 ] MainForm -> .ctor 
[ default 2023-08-25 금요일 16:06:07 157 ] LoginForm -> Form1_Load 
[ default 2023-08-25 금요일 16:06:14 720 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:20 013 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:20 156 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:21 361 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:22 373 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:23 521 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:23 732 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:24 149 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:26 869 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:27 147 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:27 554 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:27 732 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:29 015 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:29 116 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:29 446 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:29 548 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:29 553 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:29 554 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:29 627 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:29 847 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:29 955 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:29 959 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:29 961 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:30 093 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:30 152 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:30 156 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:30 160 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:30 286 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:30 293 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:30 298 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:30 492 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:30 604 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:30 667 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:30 890 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:30 892 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:30 893 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:31 006 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:31 227 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:31 234 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:32 030 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:32 290 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:32 319 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:32 999 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:33 097 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:33 147 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:33 241 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:33 244 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:33 247 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:33 310 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:33 411 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:33 416 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:33 420 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:33 466 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:33 554 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:33 561 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:33 562 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:33 926 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:34 173 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:34 220 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:34 253 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:34 282 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:35 302 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:35 380 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:35 446 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:35 533 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:35 540 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:35 543 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:35 595 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:35 692 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:35 698 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:35 700 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:36 914 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:36 916 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:06:36 918 ] LoginForm -> Start_Click 
[ default 2023-08-25 금요일 16:06:37 698 ] 검사자 : 비둘기야 먹자 & 검사장소 : 구구구 ==> 검사 시작
[ default 2023-08-25 금요일 16:06:37 742 ] MainForm -> MainForm_Load 
[ default 2023-08-25 금요일 16:06:41 243 ] MainForm -> MainForm_Shown 
[ default 2023-08-25 금요일 16:06:46 893 ] 프로그램 시작
[ default 2023-08-25 금요일 16:06:46 894 ] MainForm -> .ctor 
[ default 2023-08-25 금요일 16:06:47 056 ] LoginForm -> Form1_Load 
[ default 2023-08-25 금요일 16:06:48 005 ] LoginForm -> InputCheck 
====================
[ default 2023-08-25 금요일 16:07:55 971 ] 프로그램 시작
[ default 2023-08-25 금요일 16:07:55 971 ] MainForm -> .ctor 
[ default 2023-08-25 금요일 16:07:56 122 ] LoginForm -> Form1_Load 
[ default 2023-08-25 금요일 16:08:01 153 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:01 211 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:01 325 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:01 372 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:01 376 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:01 377 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:01 752 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:01 876 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:02 004 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:05 573 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:05 690 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:05 788 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:05 868 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:05 871 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:05 872 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:06 607 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:06 704 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:06 705 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:06 708 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:06 866 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:06 939 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:06 945 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:06 950 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:07 470 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:07 620 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:07 768 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:07 923 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:08 075 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:21 036 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:21 132 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:21 230 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:21 508 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:21 593 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:21 595 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:21 596 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:21 726 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:21 942 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:22 362 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:22 367 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:22 370 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:22 640 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:22 647 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:23 213 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:23 270 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:23 398 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:23 569 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:23 574 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:23 578 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:23 679 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:23 771 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:24 060 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:24 064 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:24 066 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:24 194 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:24 782 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:24 787 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:08:24 789 ] LoginForm -> Start_Click 
[ default 2023-08-25 금요일 16:08:25 584 ] 검사자 : 인절미 & 검사장소 : 생강차 ==> 검사 시작
[ default 2023-08-25 금요일 16:08:25 623 ] MainForm -> MainForm_Load 
[ default 2023-08-25 금요일 16:08:29 032 ] MainForm -> MainForm_Shown 
[ default 2023-08-25 금요일 16:10:44 188 ] 프로그램 시작
[ default 2023-08-25 금요일 16:10:44 189 ] MainForm -> .ctor 
[ default 2023-08-25 금요일 16:10:44 357 ] LoginForm -> LoginForm_Load 
[ default 2023-08-25 금요일 16:11:29 280 ] 프로그램 시작
[ default 2023-08-25 금요일 16:11:29 439 ] LoginForm -> LoginForm_Load 
[ default 2023-08-25 금요일 16:11:30 953 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:11:31 042 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:11:31 442 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 16:11:32 007 ] LoginForm -> Start_Click 
[ default 2023-08-25 금요일 16:11:32 800 ] 검사자 : 32 & 검사장소 : r ==> 검사 시작
[ default 2023-08-25 금요일 16:11:32 835 ] MainForm -> MainForm_Load 
[ default 2023-08-25 금요일 16:11:36 248 ] MainForm -> MainForm_Shown 
[ default 2023-08-25 금요일 17:08:47 217 ] 프로그램 시작
[ default 2023-08-25 금요일 17:08:47 435 ] LoginForm -> LoginForm_Load 
[ default 2023-08-25 금요일 17:09:05 224 ] 프로그램 시작
[ default 2023-08-25 금요일 17:09:05 392 ] LoginForm -> LoginForm_Load 
[ default 2023-08-25 금요일 17:09:48 715 ] 프로그램 시작
[ default 2023-08-25 금요일 17:09:48 901 ] LoginForm -> LoginForm_Load 
[ default 2023-08-25 금요일 17:10:01 930 ] 프로그램 시작
[ default 2023-08-25 금요일 17:10:02 088 ] LoginForm -> LoginForm_Load 
[ default 2023-08-25 금요일 17:10:15 982 ] LoginForm -> Start_Click 
[ default 2023-08-25 금요일 17:10:16 770 ] 검사자 :  & 검사장소 :  ==> 검사 시작
[ default 2023-08-25 금요일 17:10:16 815 ] MainForm -> MainForm_Load 
[ default 2023-08-25 금요일 17:10:31 669 ] 프로그램 시작
[ default 2023-08-25 금요일 17:10:31 843 ] LoginForm -> LoginForm_Load 
[ default 2023-08-25 금요일 17:10:35 324 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 17:10:35 442 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 17:10:36 170 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 17:10:36 328 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 17:10:38 215 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 17:10:38 391 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 17:10:39 279 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 17:10:39 424 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 17:10:40 607 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 17:10:41 046 ] LoginForm -> InputCheck 
[ default 2023-08-25 금요일 17:10:44 242 ] LoginForm -> Start_Click 
[ default 2023-08-25 금요일 17:10:45 025 ] 검사자 : hh & 검사장소 : gg ==> 검사 시작
[ default 2023-08-25 금요일 17:10:45 067 ] MainForm -> MainForm_Load 
[ default 2023-08-25 금요일 17:10:48 483 ] MainForm -> MainForm_Shown 
